wine_name,wine_price,wine_stock,wine_score,wine_category,Img,Date
Ant Moore a+ Marlborough Chardonnay 2023,128.0,999,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/AntMooreChardonnayy_533x.webp?v=1716259289,2024-08-18
Ant Moore a+ Marlborough Riesling 2023,118.0,999,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/AntMooreRiesling_533x.webp?v=1716257814,2024-08-18
Ant Moore a+ Marlborough Sauvignon Blanc 2023,128.0,999,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/AntMooreSauvignonBlanc2023_533x.webp?v=1721701503,2024-08-18
Ara 'Single Estate' Sauvignon Blanc Marlborough 2023,128.0,60,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/AraSingleEstate_533x.webp?v=1714463929,2024-08-18
Astrolabe Marlborough Chardonnay 2022,188.0,999,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/rNkeVGeQQTy7Ng1yjNc8Rg_pb_x960_d9753290-21ed-402b-aa29-ab60bce6bcbb_533x.png?v=1695609567,2024-08-18
Astrolabe Marlborough Sauvignon Blanc 2023,168.0,999,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/A138AST0012021-20211006_JFW_Astrolabe_SauvignonBlancMarlborough_700x700_1800x1800_395b1684-3a2d-4ec0-bdd3-af59ca3a4cfe_533x.webp?v=1695699033,2024-08-18
Atilius Bianco Chardonnay Di Toscana DOCG 2022,118.0,6,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/Joes_White_Chianti_a7fee144-98ae-484d-962c-4854ff2708de_533x.jpg?v=1706151924,2024-08-18
Black Estate Pinot Gris 2022,98.0,70,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/Black_Pinot_Gris_533x.jpg?v=1718178875,2024-08-18
Blowfish Chardonnay 2022,48.0,38,89,white-wine,https://cellarmasterwines.com/cdn/shop/products/BlowfishChardonnay_3f7c1dec-8b20-4e9a-90e5-8ab6a70265ea_533x.png?v=1678249872,2024-08-18
Blowfish Sauvignon Blanc 2022,48.0,13,90,white-wine,https://cellarmasterwines.com/cdn/shop/products/SauvignonBlanc2023_1_533x.png?v=1675845528,2024-08-18
Boschendal Estate Sommelier Selection Chenin Blanc 2022,168.0,12,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/Boschendal-Sommelier-Selection-Chenin-Blanc_d03d5c79-2aa5-4acc-be84-266b48e313c1_533x.jpg?v=1698983315,2024-08-18
Bottega Pinot Grigio Venezia DOC 2022,75.0,1,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/bottega-pinot-grigio-venezia-doc-bottega-white-wines_435c9ced-5468-405a-932e-c0cda1c43837_533x.jpg?v=1692845886,2024-08-18
Bottega Pinot Grigio Venezia DOC 2023,78.0,24,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/bottega-pinot-grigio-venezia-doc-bottega-white-wines_435c9ced-5468-405a-932e-c0cda1c43837_533x.jpg?v=1692845886,2024-08-18
Brancott Estate Marlborough Sauvignon Blanc 2023,128.0,5,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/brancotsb_6e21c16b-f806-4005-aff4-f2a09da6c797_533x.png?v=1715236870,2024-08-18
Campillo Blanco Reserva Rioja 2020,188.0,18,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/FamiliaMartinezZabala_botella-campillo-blanco-reserva-sin-anada_533x.png?v=1709618277,2024-08-18
Campillo Blanco Rioja 2022,118.0,11,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/CampilloBlanco_533x.jpg?v=1697596615,2024-08-18
Carl Sittmann Riesling 2021,88.0,5,90,white-wine,https://cellarmasterwines.com/cdn/shop/products/WhatsAppImage2021-05-17at11.17.35AM_1311a773-ded5-4f89-8c70-1819d4ab926c_533x.jpg?v=1660782751,2024-08-18
Casalforte Chardonnay 2020,88.0,6,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/Casalforte-Chardonnay-IGT-Riondo-Bottle-of-Italy_grande_6fa45760-50b8-491c-9ed0-85b8a15e4c69_533x.webp?v=1708493670,2024-08-18
Casalforte Pinot Grigio delle Venezie DOC 2023,88.0,11,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/image_829c2aa2-30ff-4b9c-91ff-20b95517fbd9_533x.jpg?v=1682576094,2024-08-18
Casas Del Bosque Chardonnay Gran Reserva 2022,148.0,14,93,white-wine,https://cellarmasterwines.com/cdn/shop/products/ScreenShot2021-03-15at5.15.46PM_533x.png?v=1615804649,2024-08-18
Casas Del Bosque La Cantera Sauvignon Blanc 2022,148.0,5,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/ScreenShot2021-03-15at1.27.44PM_a0b9c165-01b0-4378-a621-23bf586ec3e5_533x.png?v=1693888199,2024-08-18
Chateau de Pommard Chassagne Montrachet 2020,798.0,0,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/packshot-chassagne-montrachet-grand-vin-de-bourgogne-2021-product-1_533x.png?v=1706904094,2024-08-18
Chateau de Pommard Meursault 2020,798.0,6,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/2487_533x.webp?v=1706902897,2024-08-18
Chateau de Pommard Puligny Montrachet 2020,998.0,999,97,white-wine,https://cellarmasterwines.com/cdn/shop/files/puligny-montrachet-grand-vin-de-bourgogne-2020-product_533x.png?v=1706904706,2024-08-18
Chateau des Quarts Pouilly Fuisse 1er Cru 2020,388.0,999,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/245E3E3B-89E5-421F-90B5-90EED5B527EF_533x.jpg?v=1723262095,2024-08-18
Chateau des Quarts Pouilly Fuisse Clos des Quarts 2018,388.0,2,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/ChateaudesQuartsPouillyFuisseClosdesQuarts2018_533x.jpg?v=1683602565,2024-08-18
Chateau des Quarts Pouilly Fuisse Clos des Quarts 2019,388.0,999,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/ChateaudesQuartsPouillyFuisseClosdesQuarts2018_f8bbcd68-7764-4126-83bc-fdb95a086512_533x.jpg?v=1702897600,2024-08-18
Chateau Ste. Michelle Chardonnay 2021,168.0,3,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/SteMichelleChardonnay_533x.png?v=1709888516,2024-08-18
Cielo e Terra 3 Passo Bianco 2022,120.0,9,94,white-wine,https://cellarmasterwines.com/cdn/shop/products/ScreenShot2021-07-01at7.53.06PM_f737e3bb-2834-4770-be6d-01904f837b7b_533x.png?v=1671590057,2024-08-18
Cloudy Bay Marlborough Chardonnay 2022,288.0,12,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/Screenshot2023-08-28at3.01.54PM_533x.png?v=1693206608,2024-08-18
Cloudy Bay Marlborough Sauvignon Blanc 2023,198.0,26,97,white-wine,https://cellarmasterwines.com/cdn/shop/files/CloudyBay2023_533x.webp?v=1697427125,2024-08-18
Cloudy Bay Marlborough Sauvignon Blanc 2023 - (6X750ml),1128.0,4,97,white-wine,https://cellarmasterwines.com/cdn/shop/files/cloudy-bay-sauvignon-blanc-6-bottles-case-deal-2024220161913-eka_thumb_b246e951-ec04-4ac7-aaec-dbb9afdcfe6f_533x.jpg?v=1717468153,2024-08-18
Cloudy Bay Marlborough Te Koko Sauvignon Blanc 2020,468.0,4,96,white-wine,https://cellarmasterwines.com/cdn/shop/products/cloudy-bay-te-koko-sauvignon-blanc_2013_57fe9e34-6686-4940-b80c-f27ee9073d52_533x.jpg?v=1668566850,2024-08-18
CMW Secret Label Margaret River Chardonnay 2022 #8060,108.0,89,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/image_7d6a2490-5206-4e3f-895d-55cd06bdffa0_533x.jpg?v=1723274288,2024-08-18
CMW Secret Label Marlborough Sauvignon Blanc 2023 #8050,118.0,999,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/image_0715775d-a79a-4008-aa31-6c5696389e7b_533x.jpg?v=1723273634,2024-08-18
Cordier Pouilly Fuisse 1er Cru Vers Cras 2021,498.0,2,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/6nZzduOwRH-iluHfSnNtjw_pb_x960_c30af4fd-2355-4281-ad39-a95ea829da9c_533x.png?v=1703765815,2024-08-18
Cordier Pouilly Fuisse Vieilles Vignes 2022,328.0,999,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/D2135LMqTAa6il-fjGcU9Q_pb_x960_665efe9a-15a0-447e-8d85-1b5748e6d918_533x.png?v=1703765858,2024-08-18
Craigmoor Botrytis Semillon 2013 500ml,98.0,15,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/Craigmoor_533x.png?v=1716189016,2024-08-18
Deinhard Green Label Riesling 2022,88.0,10,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/Deinhard-Green-Label-Riesling_12754358-a7be-41d4-a6a4-2e43fb52e340_533x.png?v=1698631087,2024-08-18
Dog Point Vineyard Chardonnay 2021,258.0,22,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/Screenshot2023-07-25at7.04.36PM_23cab788-6367-4acc-81a4-36ae6483f94f_533x.png?v=1712545075,2024-08-18
Dog Point Vineyard Sauvignon Blanc 2023,145.0,12,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/DogPointSauvignonBlanc_b73a43d7-ccd9-45b6-bd70-90573faf20a7_533x.webp?v=1713604582,2024-08-18
Domaine Denizot Sancerre Blanc 2022,258.0,8,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/DenziotSancerre_f3f1c67e-1e69-4304-bc97-34c2c53d09f5_533x.png?v=1702897835,2024-08-18
Domaine des Malandes Chablis 2022,218.0,10,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/Domaine-des-Malandes-Chablis-2019_43dd66c0-f150-4662-ae14-ed56a47bd69e_533x.jpg?v=1682669489,2024-08-18
Domaine Drouhin Arthur Chardonnay 2021,328.0,999,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/DomainDrouhinArthurChardonnay_533x.jpg?v=1709542202,2024-08-18
Domaine Faiveley Meursault 2019,648.0,999,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/HkKvW2LgSGiBfUSg52ZxSQ_pb_x960_17f13674-805e-4c39-94b0-bfe19b8ef145_533x.png?v=1717644960,2024-08-18
Domaine Roland Lavantureux Chablis 1er Cru Beauroy 2021,388.0,18,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/Lavantureux_Chablis_1er_Vau_de_Vey_NV_533x.webp?v=1717556709,2024-08-18
Domaine Roland Lavantureux Chablis 1er Cru Fourchaume 2020,368.0,18,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/RolandLavantureuxChablis1erCruFourchaume2020_590x_79755c8e-8049-4e6b-9b4e-4fb819894723_533x.webp?v=1717554853,2024-08-18
Domaine Roland Lavantureux Chablis 1er Cru Vau De Vey 2020,388.0,15,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/Lavantureux_Chablis_1er_Vau_de_Vey_NV_533x.webp?v=1717556709,2024-08-18
Domaine Roland Lavantureux Chablis 2021,248.0,0,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/2021_domaine_roland_lavantureux_chablis_533x.webp?v=1717553581,2024-08-18
Domaine Roland Lavantureux Chablis Vauprin 2021,328.0,17,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/Vauprin_533x.jpg?v=1717554554,2024-08-18
Domäne Wachau Grüner Veltliner Federspiel Terrassen 2020,138.0,18,92,white-wine,https://cellarmasterwines.com/cdn/shop/products/Wachau-GVTerrassenFederspiel_1c26346f-0b73-4d89-8f21-68101ed7ed16copy_533x.jpg?v=1650867219,2024-08-18
Domäne Wachau Grüner Veltliner Smaragd Ried Kellerberg 2020,328.0,20,96,white-wine,https://cellarmasterwines.com/cdn/shop/products/Wachau-GVSmaragdKellerberg_a1ab8d84-220e-4d35-ba5f-b2e0576c715f_533x.png?v=1653278683,2024-08-18
Domäne Wachau Grüner Veltliner Smaragd Terrassen 2020,188.0,10,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/Wachau-GVTerrassenFederspiel_1c26346f-0b73-4d89-8f21-68101ed7ed16copy_533x.jpg?v=1712040832,2024-08-18
Domane Wachau Riesling Federspiel Ried Loibenberg 2020,138.0,9,93,white-wine,https://cellarmasterwines.com/cdn/shop/products/csm_Weingut_Domaene_Wachau_150x100_9a2e3f0705_a986b1c8-f395-4bc0-92b0-72fae4764706_533x.jpg?v=1653278157,2024-08-18
Domäne Wachau Riesling Federspiel Terrassen 2021,128.0,13,92,white-wine,https://cellarmasterwines.com/cdn/shop/products/image_95f86ab7-2e6a-461b-9774-8ab7d0d92b02_533x.png?v=1649660453,2024-08-18
Francis Ford Coppola Director's Cut Sonoma Coast Chardonnay 2021,258.0,1,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/DirectorsCutChardonnay_533x.jpg?v=1706670568,2024-08-18
Frescobaldi Pomino Chardonnay Bianco DOC 2022,158.0,6,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/frescobaldi_pomino_bianco_2017_1_1_771x1000_a675a155-f634-468d-ae9c-0d3d69536e65_533x.png?v=1705637835,2024-08-18
"Geantet Pansiot, Bourgogne Aligote 2021",198.0,4,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/GEANTET-PANSIOT-BOURGOGNE-ALIGOTE_2000x_21e40d96-f43e-43fb-a34d-b50e014a7603_533x.webp?v=1709612839,2024-08-18
Genot Boulanger Meursault Les Meix Chavaux 2020,848.0,999,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/XXqEaQBQramIWD2cUP_qQ_pb_x960_ae251c64-f535-409a-9dbe-a5b85c7e2787_533x.png?v=1703765907,2024-08-18
Hugel Classic Gewurztraminer 2020,188.0,9,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/8BvMXdyYT8eVSPyqCI0ksg_pb_x960_78bbe060-315b-4f8c-8262-0718e8c691e0_533x.png?v=1701778045,2024-08-18
Hugel Classic Pinot Gris 2022,198.0,8,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/QFnPYlruSfWVeNUpKalCJA_pb_x960_60d587e3-a03f-4e09-8905-ff0a05587c78_533x.png?v=1701777726,2024-08-18
Hugel Classic Riesling 2022,188.0,7,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/Kub5b2J2QfSpB7SN957Rmw_pb_x960_f7603798-2348-4bf4-900e-ac792791baec_533x.png?v=1701777637,2024-08-18
Hugel Estate Riesling 2019,258.0,9,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/NjcJ02CrT16USp4P5wJUNw_pb_x960_1_533x.png?v=1701778853,2024-08-18
Jean Moreau & Fils Chablis 2023,248.0,5,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/D072DDA2-E3C6-4377-AE5F-000BF134992D_533x.png?v=1702043153,2024-08-18
Jean Moreau & Fils Chardonnay 2022,98.0,11,89,white-wine,https://cellarmasterwines.com/cdn/shop/files/3137D655-10E7-4D58-ADCF-524AFB6FDEE1_533x.jpg?v=1698142021,2024-08-18
Journey's End Chardonnay 2022,68.0,16,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/V1-2022-resized_533x.png?v=1694577606,2024-08-18
Journey's End Haystack Chardonnay 2023,98.0,11,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/Hay-Stack-Chardonnay-2021-Low-Res_533x.png?v=1713948164,2024-08-18
Jumpin' Jack Chardonnay 2023,59.0,999,89,white-wine,https://cellarmasterwines.com/cdn/shop/files/JumpinJackChardonnay_bbc3e0ab-4903-4002-976e-23f8db4d1d40_533x.jpg?v=1701674753,2024-08-18
Jumpin' Jack Moscato 2023,38.0,999,88,white-wine,https://cellarmasterwines.com/cdn/shop/files/JumpinJack_Moscato_307472d7-4ccb-4339-9298-974006318e2c_533x.jpg?v=1712736774,2024-08-18
Jumpin' Jack Semillon Sauvignon Blanc 2023,59.0,999,88,white-wine,https://cellarmasterwines.com/cdn/shop/files/JumpinJackSSB_533x.jpg?v=1685502861,2024-08-18
Kato Marlborough Sauvignon Blanc 2023,98.0,999,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/Screenshot2024-05-21at11.08.11AM_533x.png?v=1716260957,2024-08-18
Kemenys Hidden Label Adelaide Hills Chardonnay 2023,98.0,999,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/WhatsAppImage2023-02-21at10.37.22PM_0f28c8d6-4b72-403d-83a6-0024bfea86b9_533x.jpg?v=1715667669,2024-08-18
Kemenys Hidden Label Adelaide Hills Sauvignon Blanc 2023,98.0,63,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/WhatsAppImage2023-02-21at10.34.48PM_533x.jpg?v=1715674695,2024-08-18
Kemenys Hidden Label Clare Valley Riesling 2023,80.0,89,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/9E3AF358-EFCB-4B2E-9755-EC5BD847E4B4_533x.jpg?v=1710128391,2024-08-18
Kemenys Hidden Label Marlborough Sauvignon Blanc 2023 (KHL 2565),88.0,999,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/KHL2565_533x.jpg?v=1706766402,2024-08-18
Knappstein Ackland Vineyard Watervale Clare Valley Riesling 2022,148.0,42,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/Knappstein_AcklandVineyardRieslingNV_533x.png?v=1706085273,2024-08-18
La Chiara Gavi Di Gavi Black Label DOCG 2022,168.0,11,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/la_gavi_6bbd471b-2d22-4e25-bbdd-1113a5a1ae08_533x.jpg?v=1705024620,2024-08-18
La Negly La Falaise Blanc 2019,228.0,11,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/Screenshot2024-04-26at12.04.15PM_533x.png?v=1714104286,2024-08-18
Le Ragnaie IGT Toscana Bianco 2020,168.0,6,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/IGTBianco_533x.png?v=1717383513,2024-08-18
Le Ragnaie IGT Toscana Bianco Civitella 2020,199.0,6,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/Screenshot2024-06-03at11.04.14AM_533x.png?v=1717383890,2024-08-18
Le Ragnaie IGT Toscana Rosso Miscelone 2018,139.0,12,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/Miscelone-2021_533x.jpg?v=1717385529,2024-08-18
Leeuwin Estate Art Series Chardonnay 2020,599.0,17,98,white-wine,https://cellarmasterwines.com/cdn/shop/files/LeeuwinChardonnay2020_533x.webp?v=1714015734,2024-08-18
Leeuwin Estate Art Series Chardonnay 2021,598.0,21,98,white-wine,https://cellarmasterwines.com/cdn/shop/files/leeuwin-chardonnay-2021__69701_533x.jpg?v=1714015439,2024-08-18
Les Jamelles Chardonnay 2020 187ml,49.0,22,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/LesJamellesChardonnay_533x.webp?v=1712888406,2024-08-18
Louis Jadot Chablis 2022 375ml,148.0,1,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/LouisJadotChablis2022375ml_533x.jpg?v=1698219934,2024-08-18
Louis Jadot Chablis Cellier du Valvan 2022,248.0,999,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/LouisJadotChablisCellierduValvan2020_b67553d5-c0c7-4f7a-b2f7-e26c0326bdca_533x.webp?v=1695373666,2024-08-18
Louis Jadot Mâcon-Villages Blanc 2022 375ml,88.0,8,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/louis-jadot-macon-villages-blanc-1774759_50b1929b-b6dd-4801-8d72-63a5a556b695_533x.jpg?v=1691396563,2024-08-18
Louis Jadot Pouilly-Fuissé 2022,298.0,8,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/LouisJadotPouilly-Fuisse2020_f32553af-008c-4f45-ac5d-5be0addc8cea_533x.jpg?v=1708850334,2024-08-18
Louis Jadot Santenay Clos de Malte Blanc 2019,328.0,9,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/Screenshot2024-05-20at3.11.17PM_533x.png?v=1716189125,2024-08-18
Louis Latour 'Grand Ardeche' Chardonnay 2021,139.0,15,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/LLGrandArdecheChardonnay_533x.png?v=1701665422,2024-08-18
Louis Latour Ardèche Chardonnay 2021,110.0,2,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/ardeche-chardonnay-bouteille-fiche-png_8a98244d-8401-4999-a1b3-5f08b9826da4_533x.png?v=1706503223,2024-08-18
Louis Latour Bourgogne Chardonnay 2022,188.0,7,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/1231424__21591_63e2381f-5ca6-4367-8f79-406b8473d606_533x.webp?v=1700453249,2024-08-18
Louis Latour Chablis 2022,298.0,30,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/ScreenShot2022-01-24at10.36.43PM_5615d491-e1a8-4fb4-8df6-16511d5a6055_533x.png?v=1693796217,2024-08-18
Louis Latour Chablis 2022 Half Bottle 375ml,168.0,5,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/ScreenShot2022-01-24at10.26.13PM_ea508bcf-5911-45ee-a5f8-4857209b69d1_533x.png?v=1713948346,2024-08-18
Louis Latour Chablis Premier Cru 2022,410.0,3,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/LouisLatourChablisPremierCru2020_50fa7760-366f-4ead-b17e-eca32de171e4_533x.jpg?v=1699247975,2024-08-18
Louis Latour Chablis Premier Cru 2022 Half Bottle 375ml,195.0,12,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/chablislatour_2ad2156c-0440-42fd-94cc-830abbc17d1b_533x.jpg?v=1701073132,2024-08-18
Louis Latour Corton-Charlemagne Grand Cru 2020,1998.0,999,95,white-wine,https://cellarmasterwines.com/cdn/shop/products/LouisLatorCortonCharlemagne_533x.jpg?v=1638417763,2024-08-18
Louis Latour Montagny 1er Cru La Grande Roche 2022,328.0,2,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/LouisLatourMontagny_533x.png?v=1708503944,2024-08-18
Louis Latour Pouilly-Fuissé 2022,378.0,5,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/LouisLatourPouillyfuisse_60c8f229-75d1-4aaf-8401-4e3b7494033d_533x.png?v=1713948762,2024-08-18
Manatapu Sauvignon Blanc 2022,88.0,24,91,white-wine,https://cellarmasterwines.com/cdn/shop/files/image_3e48701c-4fae-4784-a068-179cd9dfa31d_533x.jpg?v=1683178089,2024-08-18
McHenry Hohnen Apiary Block Unfiltered Chardonnay 2023,148.0,23,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/NVMcHenryHohenApiaryChardonnay_1e30738a-d864-453f-962a-f2b57b6eaa18_533x.jpg?v=1703819421,2024-08-18
McHenry Hohnen Calgardup Brook Chardonnay 2019,248.0,18,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/NVSVCalgardupBrookChardonnay_533x.gif?v=1703819481,2024-08-18
McHenry Hohnen Calgardup Brook Chardonnay 2020,248.0,24,97,white-wine,https://cellarmasterwines.com/cdn/shop/files/NVSVCalgardupBrookChardonnay_f2611c59-3ff2-4653-aadd-f906e15401d4_533x.gif?v=1703819467,2024-08-18
McHenry Hohnen Calgardup Brook Sauvignon Blanc 2022,148.0,4,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/NVMcHenryHohenSauvignonBlanccopy_65f5ce8e-c32f-42e0-9c8d-8ec0b21a152b_533x.png?v=1703819588,2024-08-18
McHenry Hohnen Hazel's Vineyard Chardonnay 2022,298.0,16,98,white-wine,https://cellarmasterwines.com/cdn/shop/files/NVSVHazelsChardonnay-TJAFVPcopy_c7c25859-bfea-41f4-9882-ca32c5ffc585_533x.png?v=1703819443,2024-08-18
McHenry Hohnen Marsanne Roussanne 2022,98.0,4,95,white-wine,https://cellarmasterwines.com/cdn/shop/files/NVMcHenryHohenMarsanneRoussane_aec78290-d204-4de3-872c-c1599eb750b5_533x.png?v=1700643113,2024-08-18
McHenry Hohnen Rocky Road Aromatico 2022,78.0,17,90,white-wine,https://cellarmasterwines.com/cdn/shop/files/IMG-2954_533x.png?v=1705460943,2024-08-18
Merryvale Napa Valley Chardonnay 2019,388.0,8,92,white-wine,https://cellarmasterwines.com/cdn/shop/files/84960-MERRYVALE-RESERVE-CHARDONNAY_533x.webp?v=1689579729,2024-08-18
Merryvale Starmont Chardonnay 2018,198.0,5,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/StarmontChardonnay_533x.webp?v=1689579220,2024-08-18
Nigl Pellingen Privat Grüner Veltliner 2020,148.0,13,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/GrunerVeltlinerPellingenPrivat_600x_165e2d58-7cad-4ef6-80d2-36783ead167d_533x.webp?v=1721623131,2024-08-18
Nigl Privat Gruner Veltliner 2017,298.0,11,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/NiglPrivatGV_533x.jpg?v=1718694511,2024-08-18
Oremus Tokaji Aszú 3 Puttonyos 2016 - 500ml,328.0,2,95,white-wine,https://cellarmasterwines.com/cdn/shop/products/tokay_533x.png?v=1678530959,2024-08-18
Oremus Tokaji Aszu 5 Puttonyos 2014 - 500ml,448.0,4,96,white-wine,https://cellarmasterwines.com/cdn/shop/products/oremus-aszu-5-bouteille-vinfiche_533x.png?v=1678636747,2024-08-18
Oremus Tokaji Aszu 6 Puttonyos 2007 - 500ml,548.0,999,98,white-wine,https://cellarmasterwines.com/cdn/shop/products/oremus-aszu-6-bouteille-vinfiche_533x.png?v=1678637142,2024-08-18
Oremus Tokaji Dry Furmint Mandolas 2020,175.0,1,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/OremusTokajiDryFurmintMandolas2020_533x.jpg?v=1701655419,2024-08-18
Oremus Tokaji Late Harvest 2019 - 500ml,188.0,999,94,white-wine,https://cellarmasterwines.com/cdn/shop/products/oremus_533x.png?v=1678530041,2024-08-18
Orin Swift Mannequin Chardonnay 2019,318.0,0,92,white-wine,https://cellarmasterwines.com/cdn/shop/products/orinchard_488a2fd5-73d0-4bd0-8f87-0f79e0e6ddec_533x.jpg?v=1671282774,2024-08-18
Pegau Châteauneuf-du-Pape Cuvée a Tempo Blanc 2020,1198.0,11,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/PegauChateauneuf-du-PapeCuveeaTempoBlanc2020copy_533x.webp?v=1687777964,2024-08-18
Peter Lehmann Margaret Barossa Valley Semillon 2012,188.0,0,97,white-wine,https://cellarmasterwines.com/cdn/shop/files/LEHMARSEM15_1_eaaf6434-62d5-4168-b567-09314c62e918_533x.webp?v=1709024078,2024-08-18
Peter Lehmann Margaret Barossa Valley Semillon 2015,198.0,3,96,white-wine,https://cellarmasterwines.com/cdn/shop/files/LEHMARSEM15_1_533x.webp?v=1701435374,2024-08-18
Peter Lehmann The Barossan Chardonnay 2022,128.0,9,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/download_533x.jpg?v=1701434291,2024-08-18
"Philippe le Hardi, Cote d'Or Blanc ""Clos de la Chaise"" 2020",248.0,8,93,white-wine,https://cellarmasterwines.com/cdn/shop/files/PhilippeleHardi_Coted_OrBlanc_ClosdelaChaise_2020_533x.jpg?v=1701921312,2024-08-18
Robert Mondavi Napa Valley Chardonnay 2019,288.0,4,94,white-wine,https://cellarmasterwines.com/cdn/shop/files/xAs852vETX-KoCqlGywRZA_pb_600x600_65f58b4d-524a-4058-b143-65436716fd4f_533x.png?v=1707277029,2024-08-18
Robert Oatley Finisterre Margaret River Chardonnay 2022,148.0,89,95,white-wine,https://cellarmasterwines.com/cdn/shop/products/robert-oatley-signature-series-chardonnay-margaret-river_2_5f2589b5-f8cf-4ef4-9cdf-02d96f5003e3_533x.jpg?v=1653492756,2024-08-18
